코드,건물이름,층,시설
E1,정문,1,"정문,서점"
E2,국원쉼터,1,북카페
E3,국원생활관,1,국원생활관
E4,시스템관/국원문화관,1,국원문화관
E4,시스템관/국원문화관,4,"항공,기계설계전공"
E4,시스템관/국원문화관,5,에너지소재공학전공
E4,시스템관/국원문화관,6,산업경영공학전공
E5,테크노관,1,자동차공학전공
E5,테크노관,2,"제2행정실,기계공학전공,안전공학전공"
E6,학생회관,1,국원 휘트니스클럽(헬스장)
E6,학생회관,2,"동아리연합회,전국국공립대노동조합"
E6,학생회관,3,"예비군연대,인권센터,총학생회실,학생복지위원회,졸업준비위원회,감사위원회,공무원직장협의회"
E6,학생회관,4,"방송국,대학신문사,유물전시실,고시열람실"
E7,경영항공관,2,"항공서비스학과,항공운항학과"
E7,경영항공관,3,경영학과
E7,경영항공관,4,"비행훈련원,국제통상전공,,공학교육혁신센터"
E8,대학본부,1,"대학교육혁신원,보건실,T-SAFE사업단"
E8,대학본부,2,국제회의장
E8,대학본부,3,교직원식당
E8,대학본부,4,"종합상황실,박물관"
E8,대학본부,5,전시실
E8,대학본부,6,"교무과,기획과,총무과,재무과,동문회"
E8,대학본부,7,"총장실,U-edu센터"
E8,대학본부,8,"시설과,교수회,대회의실"
E8-1,대학본부 별관,1,"학생식당,편의점"
E8-1,대학본부 별관,2,음료광장
E8-1,대학본부 별관,3,후생팀
E8-1,대학본부 별관,4,"창업지원단,SK청년비상사업단"
E9,"항공,기계실습관",1,"항공,기계실습실"
E10,역학시험동,1,역학시험동
E11,창업생산동,1,창업생산동
E12,건축관,1,"건축공학전공,건축학전공"
E13,건설환경관,1,사회기반공학전공
E13,건설환경관,2,환경공학전공
E13,건설환경관,3,도시교통공학전공
E13,건설환경관,4,사회복지학과
E14,인문사회관,1,"제3행정실,인문사회소극장,Caffee"
E14,인문사회관,2,영어영문학전공
E14,인문사회관,3,중국어전공
E14,인문사회관,4,행정정보학전공
E14,인문사회관,5,행정학전공
E15,학군단,1,학군단
E16,대원생활관,1,대원생활관
E17,스마트ICT관,2,전자공학과
W1,테니스장,1,테니스장
W2,아레나K,1,아레나K
W3,국원노천극장,1,국원노천극장
W4,대학원,1,"국제교류본부,장애학생지원센터"
W4,대학원,2,"입학홍보과,대학원"
W4,대학원,3,전산정보원
W5,종합강의관,1,"학생과,취업창업지원과,현장실습지원센터,학사관리과,평생교육원,농협,마트,우편취급국,안경점,복사실"
W5,종합강의관,2,"교양학부,자유전공학부"
W5,종합강의관,3,"제2행정실,스포츠의학전공"
W5,종합강의관,4,음악학과
W6,휴스퀘어관,1,휴스퀘어관
W7,화학생명관,1,나노화학소재전공
W9,공동실험관,2,공동실험실습관 행정실
W9,공동실험관,3,3D프린팅센터
W9,공동실험관,5,과학문화진흥센터
W9,공동실험관,6,친환경에너지 부품소재 센터(RIC)
W10,중원생활관,1~9,중원생활관
W11,예성생활관,7~9,예성생활관
W13,예성관리동,1~2,예성관리동
W15,동아리관,1,동아리관
W17,인터넷창업센터,1,인터넷창업센터
W18,미래융합정보관,1,"AI로봇공학과,바이오메디컬융합학과"
W18,미래융합정보관,2,소프트웨어학전공
W18,미래융합정보관,3,컴퓨터공학전공
W18,미래융합정보관,4,미디어＆콘텐츠학과
W19,대운동장,1,대운동장
W20,중앙도서관/교육관,1,"열람실,북카페"
W20,중앙도서관/교육관,10,교육대학원
W20,중앙도서관/교육관,2,도서관행정실
W20,중앙도서관/교육관,3,"자료실,편의점"
W20,중앙도서관/교육관,4,스포츠산업학전공
W20,중앙도서관/교육관,6,융합경영전공학과
W20,중앙도서관/교육관,7,산업디자인공학전공
W20,중앙도서관/교육관,8,커뮤니케이션디자인전공
W20,중앙도서관/교육관,9,한국어문학전공
W22,환경관,1,환경관
